entity_id,entity_name,plant_id,plant_name,sector,nameplate_capacity,summer_capacity,winter_capacity,latitude,longitude,survey_month,survey_year
56201.0,Engie North America,64298.0,Magnolia TX,IPP Non-CHP,9.9,9.9,9.9,29.488335,-95.13395,11,2024
56201.0,Engie North America,64312.0,Bat Cave,IPP Non-CHP,100.0,100.0,100.0,30.737745,-99.23178,11,2024
56201.0,Engie North America,64314.0,Dickinson,IPP Non-CHP,9.9,9.9,9.9,29.461255,-95.05699,11,2024
56201.0,Engie North America,64315.0,Loop 463,IPP Non-CHP,9.9,9.9,9.9,28.816475,-97.07487,11,2024
56201.0,Engie North America,64316.0,Lopeno,IPP Non-CHP,9.9,9.9,9.9,26.687614,-99.10942,11,2024
56201.0,Engie North America,64317.0,North Fork TX,IPP Non-CHP,100.0,100.0,100.0,30.748955,-97.87571,11,2024
56201.0,Engie North America,64318.0,Pueblo BA,IPP Non-CHP,9.9,9.9,9.9,28.678935,-100.4637,11,2024
56201.0,Engie North America,64318.0,Pueblo BA,IPP Non-CHP,9.9,9.9,9.9,28.678935,-100.4637,11,2024
56201.0,Engie North America,64319.0,Ranchtown,IPP Non-CHP,9.9,9.9,9.9,29.617885,-98.73595,11,2024
56201.0,Engie North America,64321.0,Sweeny,IPP Non-CHP,9.9,9.9,9.9,29.055615,-95.68724,11,2024
56201.0,Engie North America,64322.0,Zapata,IPP Non-CHP,9.9,9.9,9.9,26.932675,-99.23371,11,2024
56201.0,Engie North America,64322.0,Zapata,IPP Non-CHP,9.9,9.9,9.9,26.932675,-99.23371,11,2024
63289.0,Key Capture Energy,64423.0,TX7 Flat Top,IPP Non-CHP,9.9,9.9,9.9,31.19791,-103.3607,11,2024
63289.0,Key Capture Energy,64424.0,TX8 Worsham,IPP Non-CHP,9.9,9.9,9.9,31.35658,-103.3365,11,2024
63289.0,Key Capture Energy,64425.0,TX2 Port Lavaca,IPP Non-CHP,9.9,9.9,9.9,28.58673,-96.68376,11,2024
57313.0,Tesla Inc.,64528.0,Gambit Energy Storage - Angleton Storage,IPP Non-CHP,100.0,100.0,100.0,29.16801,-95.44506,11,2024
64179.0,"Ranchland Wind Storage, LLC",64545.0,Ranchland Wind Storage,IPP Non-CHP,73.0,73.0,73.0,32.308524,-99.1642,11,2024
64266.0,"Blue Jay Solar I, LLC",64672.0,"Blue Jay Solar I, LLC",IPP Non-CHP,51.6,51.6,51.6,30.705329,-96.06983,11,2024
64339.0,"VESI Upton County BESS, LLC",64811.0,Upton County BESS,IPP Non-CHP,24.8,24.8,24.8,31.23924,-102.3217,11,2024
64400.0,Flower Valley,64915.0,Flower Valley I,IPP Non-CHP,9.9,9.9,9.9,31.197283,-103.3618,11,2024
64401.0,Swoose,64916.0,Swoose I,IPP Non-CHP,9.9,9.9,9.9,31.45115,-103.0962,11,2024
64402.0,Triple Butte,64917.0,Triple Butte I,IPP Non-CHP,7.5,7.5,7.5,30.75956,-103.0679,11,2024
64438.0,"Enel Green Power Roseland Solar, LLC",65028.0,"Roseland Solar Project, LLC",IPP Non-CHP,51.8,51.8,51.8,31.461242,-96.82493,11,2024
64564.0,Byrd Ranch Storage LLC,65259.0,Byrd Ranch Storage,IPP Non-CHP,50.0,50.0,50.0,29.056,-95.686,11,2024
64568.0,"BT Noble Solar, LLC",65271.0,Noble Solar,IPP Non-CHP,125.0,125.0,125.0,33.261505,-97.23806,11,2024
57416.0,"Acciona Energy USA Global, LLC",65410.0,Cunningham Storage,IPP Non-CHP,190.0,190.0,190.0,33.004305,-96.07591,11,2024
63289.0,Key Capture Energy,65693.0,TX10 Hummingbird Storage,IPP Non-CHP,100.0,100.0,100.0,33.3256,-97.31433,11,2024
63289.0,Key Capture Energy,65694.0,TX11 Republic Road Storage,IPP Non-CHP,50.0,50.0,50.0,30.881424,-96.62542,11,2024
63289.0,Key Capture Energy,65695.0,TX12 Silicon Hill Storage,IPP Non-CHP,100.0,100.0,100.0,30.41217,-97.57405,11,2024
63289.0,Key Capture Energy,65696.0,TX13 Endurance Park Storage,IPP Non-CHP,50.0,50.0,50.0,32.85583,-100.9917,11,2024
63289.0,Key Capture Energy,65698.0,TX15 Limousin Oak Storage,IPP Non-CHP,100.0,100.0,100.0,30.65991,-95.9738,11,2024
