month,nameplate_capacity,summer_capacity,winter_capacity,avg_load,peak_load,load_vol,avg_stress_ratio,max_stress_ratio,price_vol,avg_price,spike_freq,intraday_spread
2023-06,2562.7,2553.1,2553.1,59166.572264305556,80786.514703,10910.455508029405,0.7384410614597365,1.0,222.25152388761256,71.38309722222222,0.07777777777777778,320.3726666666667
2023-07,2946.6,2937.0,2937.0,63687.34598724193,82939.075224,10607.554816084375,0.7799712583457311,1.0,67.40017310133585,54.08635752688172,0.13172043010752688,180.3458064516129
2023-08,3136.6,3127.0,3127.0,67588.16792154031,85464.116394,11047.162383992569,0.7966751051012064,1.0,635.1996013176582,262.1772043010753,0.3010752688172043,1636.0016129032258
2023-09,3136.6,3127.0,3127.0,59711.14560777361,84342.727457,10540.33261730153,0.6986691974032464,0.986878833078549,213.62034295737794,70.56970833333334,0.10138888888888889,414.83933333333334
2023-10,3146.5,3136.9,3136.9,47689.7572650121,71180.655037,7421.857426186161,0.5580091303484201,0.8328718301941894,45.308267915452596,33.21333333333334,0.028225806451612902,125.49161290322581
2023-11,3156.5,3146.9,3146.9,43505.465473858334,56515.23138,4062.4618711011326,0.509049497139745,0.661274389352578,34.528032114585976,31.479680555555554,0.02361111111111111,101.89466666666665
2023-12,3396.5,3386.9,3386.9,44729.53576148387,56975.871165,3425.330993772865,0.5233721197710073,0.6666642512552787,9.989418100608752,21.281478494623656,0.0,33.68451612903226
2024-01,3479.6,3459.8,3459.8,51319.37327177419,78313.707866,8619.71677918366,0.6004786036186887,0.9163343771667194,120.64542407710464,43.81936827956989,0.05510752688172043,132.05709677419355
2024-02,3789.5,3769.7,3769.7,43942.931921932475,55855.329108,4077.7318807751703,0.5141682120639988,0.6535529935218674,9.163896608666477,14.483362068965517,0.0,30.95758620689655
2024-03,4038.4,4016.0,4016.0,43363.25882584812,55297.951836,3957.185056213643,0.5073855631518872,0.6470312239708851,21.44625084138049,21.80375,0.010752688172043012,67.76322580645162
2024-04,4123.3,4100.9,4100.9,46381.04503696667,63997.160881,5775.383449698644,0.5426961278479076,0.7488190784769281,41.533808409549884,22.890763888888888,0.02361111111111111,101.086
2024-05,4123.3,4100.9,4100.9,53724.34723777957,77121.791019,8638.262579350938,0.628618764278844,0.9023879760654067,143.37729075286748,44.904959677419356,0.04838709677419355,295.9358064516129
2024-06,4551.0,4520.7,4520.7,61509.44039681944,79697.903222,9796.600669217098,0.719710715936656,0.9325305939463873,22.833917605456925,30.513,0.022222222222222223,66.58933333333333
2024-07,4807.3,4773.5,4773.5,59884.63237116263,81010.062765,9921.262489455396,0.7006991343020172,0.9478839328488898,11.320526701652135,23.08841397849462,0.0,39.95516129032258
2024-08,5405.7,5348.5,5348.5,66281.85358878764,85198.85005,10709.774619409942,0.7781280221470673,1.0,57.48854020142799,35.75127688172043,0.03494623655913978,155.5151612903226
2024-09,5687.6,5630.4,5630.4,56962.83992880833,77779.533151,9206.48956165752,0.6685869573988262,0.9129176403831052,12.899214866984407,23.753541666666667,0.004166666666666667,51.20233333333333
2024-10,6063.5,6006.3,6006.3,52793.18564750672,72539.57058,8609.493644140168,0.6196466926082265,0.8514149021662765,31.200356990477392,26.51438172043011,0.024193548387096774,108.60032258064517
2024-11,6288.8,6231.6,6231.6,46865.42060685695,60169.923833,4773.976282786495,0.5500710464912777,0.7062292953213399,18.77242098832187,22.998527777777777,0.006944444444444444,65.92
2024-12,7437.8,7380.6,7380.6,46894.943238893815,60235.019311,3704.1909573357652,0.5504175609338969,0.7069933370655864,11.73114589197515,25.228346774193547,0.0,37.15129032258065
2025-01,7561.3,7504.1,7504.1,54406.32338880108,77478.268454,8143.91623040616,0.6385804897234182,0.9093816220351675,18.951912963020977,30.4159811827957,0.009408602150537635,48.09838709677419
2025-02,7829.9,7738.6,7738.6,51644.767717874995,80524.699422,8448.61228088639,0.606167426996569,0.9451383366646744,48.63617766014241,32.850744047619045,0.025297619047619048,68.0275
2025-03,7939.8,7848.5,7848.5,46652.61110807124,62920.405748,4642.074308752426,0.547573248708082,0.7385123826327983,21.722373547415724,29.82706989247312,0.01478494623655914,67.99290322580646
2025-04,8104.8,7990.6,7990.6,50678.35063660138,65613.500952,6204.729056245054,0.5948243504091918,0.7701219079071362,22.958404629441333,31.56851388888889,0.015277777777777777,72.773
2025-05,8727.9,8578.4,8578.4,55297.71978440726,78391.834411,9302.552907211746,0.6490430299464736,0.920104371889935,35.300364439464914,35.98123655913979,0.0228494623655914,86.18258064516128
2025-06,9147.5,8998.0,8998.0,62689.66612329722,77350.999293,9044.80633530201,0.7358041345218511,0.9078878323780851,16.823816442293193,31.380194444444445,0.006944444444444444,55.843333333333334
2025-07,9587.5,9438.0,9438.0,64239.999931361555,81706.531132,9456.234996224908,0.7540007863211948,0.9590097880904439,31.12143477943592,35.301142473118276,0.01747311827956989,67.68451612903225
2025-08,10087.3,9937.8,9937.8,66531.79840601748,83679.001697,9901.44773986206,0.7848803351340027,0.9907775187042215,32.18136157205659,40.68741935483871,0.04032258064516129,90.39548387096775
2025-09,10957.3,10807.8,10807.8,61063.17089502361,79917.516334,9769.175087021358,0.7297311112306542,0.9550486348221473,14.347386743341252,31.68125,0.001388888888888889,53.01166666666667
2025-10,12226.9,12076.1,12076.1,55179.437951604836,75889.15969,8787.717683770565,0.659417976225487,0.9069080432483305,18.56752542272257,33.48185483870968,0.004032258064516129,68.0583870967742
2025-11,12715.1,12538.9,12538.9,49223.538203690274,64698.072221,5389.4750587712815,0.5882424169199308,0.773169742813979,22.0838595523417,34.90888888888889,0.018055555555555554,73.33733333333333
2025-12,13567.6,13362.7,13362.7,50810.22928570834,63130.746827,4293.352516259643,0.6072040566364685,0.7544395313844109,21.556381157561518,33.6701747311828,0.013440860215053764,49.203870967741935
2026-01,14214.4,14009.5,14009.5,53372.071217841396,75571.570086,7236.281055529304,0.6378191677178536,0.9031127111153066,195.10603693928203,74.46076612903225,0.11559139784946236,129.43322580645162
2026-02,14814.0,14609.1,14609.1,49445.44254163988,69611.88717,4888.956683054134,0.5908942690387351,0.8318919413267293,13.475617656941466,19.566220238095237,0.0,34.6675
